years,chile
1991-01-01,5.23000001907349
1992-01-01,4.34999990463257
1993-01-01,4.48999977111816
1994-01-01,5.86999988555908
1995-01-01,4.69999980926514
1996-01-01,7.40999984741211
1997-01-01,7.1399998664856
1998-01-01,7.30999994277954
1999-01-01,11.1599998474121
2000-01-01,10.4899997711182
2001-01-01,10.3900003433228
2002-01-01,10.1700000762939
2003-01-01,9.77000045776367
2004-01-01,10.1599998474121
2005-01-01,9.34000015258789
2006-01-01,9.02000045776367
2007-01-01,8.43000030517578
2008-01-01,9.28999996185303
2009-01-01,11.3100004196167
2010-01-01,8.40999984741211
2011-01-01,7.32000017166138
2012-01-01,6.6399998664856
2013-01-01,6.19999980926514
2014-01-01,6.65000009536743
2015-01-01,6.48999977111816
2016-01-01,6.73000001907349
2017-01-01,6.94999980926514
2018-01-01,7.21000003814697
2019-01-01,7.26999998092651
2020-01-01,11.1400003433228
2021-01-01,9.35000038146973
