years,guatemala
1991-01-01,2.65599989891052
1992-01-01,2.63800001144409
1993-01-01,2.66899991035461
1994-01-01,2.67600011825562
1995-01-01,2.66400003433228
1996-01-01,2.72300004959106
1997-01-01,2.69899988174438
1998-01-01,2.69400000572205
1999-01-01,2.73300004005432
2000-01-01,2.75
2001-01-01,2.79299998283386
2002-01-01,2.76699995994568
2003-01-01,2.80999994277954
2004-01-01,2.97000002861023
2005-01-01,3.05299997329712
2006-01-01,3.08200001716614
2007-01-01,3.14000010490417
2008-01-01,3.31399989128113
2009-01-01,3.48900008201599
2010-01-01,3.5
2011-01-01,3.09500002861023
2012-01-01,2.75999999046326
2013-01-01,3.01999998092651
2014-01-01,2.72000002861023
2015-01-01,2.50999999046326
2016-01-01,2.57999992370605
2017-01-01,2.46000003814697
2018-01-01,2.27999997138977
2019-01-01,2.19000005722046
2020-01-01,3.35899996757507
2021-01-01,2.94199991226196
