years,uruguay
1991-01-01,8.94999980926514
1992-01-01,8.96000003814697
1993-01-01,8.35000038146973
1994-01-01,9.03999996185303
1995-01-01,10.0200004577637
1996-01-01,11.9300003051758
1997-01-01,11.4399995803833
1998-01-01,9.35999965667725
1999-01-01,10.4700002670288
2000-01-01,12.6300001144409
2001-01-01,15.0500001907349
2002-01-01,16.6499996185303
2003-01-01,16.6599998474121
2004-01-01,12.9799995422363
2005-01-01,12.0100002288818
2006-01-01,10.8400001525879
2007-01-01,9.39999961853027
2008-01-01,8.02999973297119
2009-01-01,7.73999977111816
2010-01-01,7.15999984741211
2011-01-01,6.30999994277954
2012-01-01,6.44999980926514
2013-01-01,6.44000005722046
2014-01-01,6.55000019073486
2015-01-01,7.48999977111816
2016-01-01,7.84000015258789
2017-01-01,7.8899998664856
2018-01-01,8.34000015258789
2019-01-01,8.72999954223633
2020-01-01,10.3299999237061
2021-01-01,9.28999996185303
