years,colombia
1960-01-01,-49098.0
1961-01-01,-49408.0
1962-01-01,-51733.0
1963-01-01,-54423.0
1964-01-01,-55765.0
1965-01-01,-53597.0
1966-01-01,-61249.0
1967-01-01,-58937.0
1968-01-01,-63183.0
1969-01-01,-66191.0
1970-01-01,-66058.0
1971-01-01,-84692.0
1972-01-01,-77748.0
1973-01-01,-75658.0
1974-01-01,-80843.0
1975-01-01,-84511.0
1976-01-01,-98130.0
1977-01-01,-67662.0
1978-01-01,-67880.0
1979-01-01,-63678.0
1980-01-01,-49253.0
1981-01-01,-56188.0
1982-01-01,-46855.0
1983-01-01,-29939.0
1984-01-01,-34909.0
1985-01-01,-35855.0
1986-01-01,-48299.0
1987-01-01,-44372.0
1988-01-01,-32292.0
1989-01-01,-27370.0
1990-01-01,-17237.0
1991-01-01,-48488.0
1992-01-01,-29969.0
1993-01-01,-30020.0
1994-01-01,-16033.0
1995-01-01,-33016.0
1996-01-01,-28154.0
1997-01-01,-23520.0
1998-01-01,-25134.0
1999-01-01,-30850.0
2000-01-01,-31116.0
2001-01-01,-27618.0
2002-01-01,-24379.0
2003-01-01,-33007.0
2004-01-01,-25907.0
2005-01-01,-41348.0
2006-01-01,-39142.0
2007-01-01,-49575.0
2008-01-01,-63246.0
2009-01-01,-46902.0
2010-01-01,-34185.0
2011-01-01,-46273.0
2012-01-01,-55913.0
2013-01-01,-64686.0
2014-01-01,-67516.0
2015-01-01,-41064.0
2016-01-01,79978.0
2017-01-01,415618.0
2018-01-01,494364.0
2019-01-01,395803.0
2020-01-01,229437.0
2021-01-01,211978.0
