years,estados unidos
1960-01-01,583458.0
1961-01-01,541424.0
1962-01-01,549734.0
1963-01-01,588381.0
1964-01-01,501115.0
1965-01-01,497365.0
1966-01-01,337814.0
1967-01-01,377776.0
1968-01-01,502456.0
1969-01-01,669129.0
1970-01-01,937473.0
1971-01-01,914163.0
1972-01-01,945777.0
1973-01-01,842220.0
1974-01-01,789950.0
1975-01-01,832170.0
1976-01-01,760399.0
1977-01-01,1015857.0
1978-01-01,1148506.0
1979-01-01,1119646.0
1980-01-01,1123144.0
1981-01-01,719062.0
1982-01-01,701091.0
1983-01-01,799544.0
1984-01-01,726016.0
1985-01-01,759118.0
1986-01-01,684733.0
1987-01-01,677547.0
1988-01-01,759523.0
1989-01-01,919737.0
1990-01-01,1421775.0
1991-01-01,1569223.0
1992-01-01,1816509.0
1993-01-01,1752153.0
1994-01-01,1806698.0
1995-01-01,1678815.0
1996-01-01,1771618.0
1997-01-01,1866819.0
1998-01-01,1799996.0
1999-01-01,1667953.0
2000-01-01,1479676.0
2001-01-01,1335725.0
2002-01-01,1168499.0
2003-01-01,1074728.0
2004-01-01,1200409.0
2005-01-01,1129462.0
2006-01-01,1113259.0
2007-01-01,1108509.0
2008-01-01,1095864.0
2009-01-01,1031010.0
2010-01-01,1030731.0
2011-01-01,1322433.0
2012-01-01,1323368.0
2013-01-01,1320840.0
2014-01-01,1250914.0
2015-01-01,1221849.0
2016-01-01,1449371.0
2017-01-01,1377630.0
2018-01-01,1200796.0
2019-01-01,1158444.0
2020-01-01,675560.0
2021-01-01,561580.0
