years,méxico
1960-01-01,-90381.0
1961-01-01,-56177.0
1962-01-01,-59833.0
1963-01-01,-66521.0
1964-01-01,-72587.0
1965-01-01,-72486.0
1966-01-01,-96681.0
1967-01-01,-98676.0
1968-01-01,-116362.0
1969-01-01,-130524.0
1970-01-01,-137213.0
1971-01-01,-138534.0
1972-01-01,-140810.0
1973-01-01,-137332.0
1974-01-01,-135138.0
1975-01-01,-113208.0
1976-01-01,-129187.0
1977-01-01,-36258.0
1978-01-01,-55950.0
1979-01-01,-66472.0
1980-01-01,-261285.0
1981-01-01,-475073.0
1982-01-01,-489089.0
1983-01-01,-486358.0
1984-01-01,-547736.0
1985-01-01,-588611.0
1986-01-01,-641663.0
1987-01-01,-618502.0
1988-01-01,-573155.0
1989-01-01,-592054.0
1990-01-01,-286584.0
1991-01-01,-319832.0
1992-01-01,-298907.0
1993-01-01,-316437.0
1994-01-01,-276896.0
1995-01-01,-313979.0
1996-01-01,-320872.0
1997-01-01,-312542.0
1998-01-01,-302976.0
1999-01-01,-335401.0
2000-01-01,-356430.0
2001-01-01,-348349.0
2002-01-01,-324106.0
2003-01-01,-332396.0
2004-01-01,-270797.0
2005-01-01,-318048.0
2006-01-01,-312270.0
2007-01-01,-309663.0
2008-01-01,-321847.0
2009-01-01,-289132.0
2010-01-01,-41156.0
2011-01-01,4184.0
2012-01-01,-48160.0
2013-01-01,-101719.0
2014-01-01,-100413.0
2015-01-01,-82173.0
2016-01-01,33094.0
2017-01-01,-12438.0
2018-01-01,-99430.0
2019-01-01,-47764.0
2020-01-01,-9949.0
2021-01-01,-52649.0
